OTU,Slurry,T0_Tmt1_a,T0_Tmt1_b,T0_Tmt1_c,T0_Tmt2_a,T0_Tmt2_b,T0_Tmt2_c,T11_Tmt1_a,T11_Tmt1_b,T11_Tmt1_c,T11_Tmt2_a,T11_Tmt2_b,T11_Tmt2_c,T11_Tmt3_a,T11_Tmt3_b,T11_Tmt3_c,T11_Tmt4_a,T11_Tmt4_b,T11_Tmt4_c,T13_Tmt1_a,T13_Tmt1_b,T13_Tmt1_c,T13_Tmt2_a,T13_Tmt2_b,T13_Tmt2_c,T13_Tmt3_a,T13_Tmt3_b,T13_Tmt3_c,T13_Tmt4_a,T13_Tmt4_b,T13_Tmt4_c,T2_Tmt1_a,T2_Tmt1_b,T2_Tmt1_c,T2_Tmt2_a,T2_Tmt2_b,T2_Tmt2_c,T3_Tmt1_a,T3_Tmt1_b,T3_Tmt1_c,T3_Tmt2_a,T3_Tmt2_b,T3_Tmt2_c,T3_Tmt3_a,T3_Tmt3_b,T3_Tmt3_c,T3_Tmt4_a,T3_Tmt4_b,T3_Tmt4_c,T5_Tmt1_a,T5_Tmt1_b,T5_Tmt1_c,T5_Tmt2_a,T5_Tmt2_b,T5_Tmt2_c,T5_Tmt3_a,T5_Tmt3_b,T5_Tmt3_c,T5_Tmt4_a,T5_Tmt4_b,T5_Tmt4_c,T7_Tmt1_a,T7_Tmt1_b,T7_Tmt1_c,T7_Tmt2_a,T7_Tmt2_b,T7_Tmt2_c,T7_Tmt3_a,T7_Tmt3_b,T7_Tmt3_c,T7_Tmt4_a,T7_Tmt4_b,T7_Tmt4_c,T8_Tmt1_a,T8_Tmt1_b,T8_Tmt1_c,T8_Tmt2_a,T8_Tmt2_b,T8_Tmt2_c,T8_Tmt3_a,T8_Tmt3_b,T8_Tmt3_c,T8_Tmt4_a,T8_Tmt4_b,T8_Tmt4_c,taxonomy
Otu000001,11,21233,17160,14526,12200,11203,10457,11974,24119,14236,24588,9851,10564,14959,17349,9885,22067,14971,11176,21021,20023,18537,9696,7055,19399,14784,24361,10020,11110,13829,13103,10709,19761,17532,671,950,3151,15307,15159,19507,7481,15484,6757,6398,17098,7,2064,6328,3065,6727,7415,4734,7535,4130,4189,3404,5010,2404,1829,3306,2205,9558,13343,21275,6878,9476,27885,30,16313,23678,5129,20179,14430,27565,15212,8403,12994,16886,17460,17667,35982,14209,16191,10566,11578,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae_1; Bacillus
Otu000002,1,13322,10863,8604,12121,10304,13772,8560,17527,9746,15842,3979,5631,11833,9943,11564,11128,11716,10778,16985,8616,13092,4524,3932,11183,10802,17278,8461,14088,6262,8799,8265,14730,16388,509,858,2931,17361,34355,10629,6465,13959,5892,6667,11882,10,2829,16169,3005,9436,5093,4381,5418,4732,4392,4771,8363,8840,2944,3329,3396,9548,16151,11455,3443,8784,14324,27,13045,14026,9826,15837,19188,19454,18221,21766,8481,12100,9960,15611,30603,9915,11843,8831,6477,Bacteria; Verrucomicrobia; Spartobacteria; Spartobacteria_order_incertae_sedis; Spartobacteria_family_incertae_sedis; Spartobacteria_genera_incertae_sedis
Otu000003,0,1436,1165,793,772,756,974,1428,1173,1496,2141,488,809,1450,1559,2136,1632,1707,1449,1854,1160,2050,634,535,1357,1202,2215,1267,1018,707,775,610,1408,1849,34,64,610,2377,2664,1163,436,1458,726,628,1766,1,200,1134,311,1057,679,495,791,475,648,777,1050,666,312,291,370,574,1351,1148,337,620,2085,2,1291,1574,893,1177,1963,2275,2981,2637,594,1545,812,1380,3252,1026,1358,1022,926,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium
Otu000004,4,5726,3830,3381,3577,2665,1890,2318,6415,3336,4195,2097,2849,4034,5077,1922,3497,4164,2721,5324,5454,3888,2656,1237,5402,3409,5446,2967,2478,3661,2717,2524,5391,3443,231,329,802,4415,4871,4976,2087,5049,1876,1374,5645,6,722,2823,618,2626,2200,794,2029,799,1161,1113,1184,986,492,1021,727,2008,3070,3852,1344,2666,5166,13,3573,7454,1138,5121,4763,6108,4927,2476,2911,3631,3495,4580,8864,3435,3648,2374,2018,Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Sporosarcina
Otu000005,0,1928,1290,1281,941,1000,839,840,2445,1044,1470,718,956,1299,1593,777,1573,1667,807,1917,2083,1147,817,401,1380,1459,2142,901,815,1363,1230,759,1961,1297,75,101,287,1428,1305,1759,706,1485,486,401,1397,0,223,512,227,658,702,261,659,315,361,303,409,161,117,296,188,712,965,1647,529,818,2070,6,1094,2010,272,1453,1147,2206,1370,631,955,1178,1337,1376,3405,1219,1315,685,798,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales_unclassified; Bacillales_unclassified
Otu000006,0,2262,1799,1322,1099,1109,1196,1819,1810,1872,2892,659,927,2050,2456,3115,2074,1970,1877,2411,1435,2205,877,720,1854,2204,2815,2023,1213,935,1251,1159,2178,2135,36,93,701,2824,3381,1546,798,1551,837,902,1931,1,199,1072,330,1193,876,535,918,421,762,845,1302,669,299,282,418,683,1754,1845,392,722,1941,1,1582,1957,1086,1311,2114,3343,2417,2394,1083,2209,1050,1847,4340,1527,1535,1226,974,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_unclassified; Rhizobiales_unclassified
Otu000007,4031,1,1,0,1288,946,764,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,427,299,1269,0,1,0,80,327,117,0,16,0,2064,1103,199,0,0,0,28,10,5,0,0,0,158,82,114,1,0,0,4,35,35,0,0,0,38,70,74,0,0,0,0,4,5,0,0,0,0,0,9,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Marinospirillum
Otu000008,0,134,124,59,105,71,101,58,61,62,90,15,28,51,25,34,42,206,98,36,74,105,46,41,14,15,54,26,54,29,32,54,87,121,5,0,30,199,95,59,29,122,59,44,73,0,37,160,19,58,59,39,35,25,32,54,80,34,21,20,25,61,126,55,12,50,54,0,68,67,51,57,93,121,71,69,27,42,49,37,102,32,107,49,72,Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Myxococcales_unclassified; Myxococcales_unclassified
Otu000009,0,373,234,261,291,179,299,589,361,541,760,117,251,295,253,278,313,483,274,703,331,616,175,115,485,273,658,154,311,155,177,161,443,523,15,9,113,699,886,291,100,360,148,127,355,0,45,215,56,242,243,212,261,193,165,163,242,214,100,71,71,152,320,312,78,146,562,0,429,440,245,376,526,517,726,736,151,441,222,354,904,183,266,143,161,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Rhodomicrobium
Otu000010,0,254,11,15,203,23,17,3117,13,1643,20,8,4079,2,7,8,6,3,7,10,4406,12286,201,10,8,18,14,10,9,7,7,24,18,65,5,10,60,23,26,15,17,35,67,2,27,0,21,42,33,9,19,8,14,7,8,40,10,0,5,19,9,6,24,14,19,14,49,0,5,125,23,43,306,30,21951,39939,3,16,64,12,35,6,1,5,10,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
Otu000011,104,2,1,0,76,64,50,0,0,0,5,3,1,1,1,2,6,11,0,0,2,0,0,1,1,1,3,1,3,19,5,2,0,0,1259,2402,1957,10,1,1,687,2366,607,1,72,0,9076,5767,1380,0,0,0,189,55,34,0,0,0,1568,1541,1736,1,2,1,33,117,244,8,0,0,725,1718,1054,1,1,0,7,9,18,1,0,6,33,15,43,Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria_unclassified; Gammaproteobacteria_unclassified; Gammaproteobacteria_unclassified
