timepoint,lenom,treatment,replicate,Day,ExpPhase
T0,T0_Tmt1_a,Control,a,0,PreFlood
T0,T0_Tmt1_b,Control,b,0,PreFlood
T0,T0_Tmt2_a,Slurry,a,0,PreFlood
T0,T0_Tmt2_b,Slurry,b,0,PreFlood
T0,T0_Tmt2_c,Slurry,c,0,PreFlood
T0,T0_Tmt1_c,Control,c,0,PreFlood
T11,T11_Tmt1_b,Control,b,114,Recovery
T11,T11_Tmt1_c,Control,c,114,Recovery
T11,T11_Tmt2_a,Slurry,a,114,Recovery
T11,T11_Tmt2_b,Slurry,b,114,Recovery
T11,T11_Tmt2_c,Slurry,c,114,Recovery
T11,T11_Tmt3_a,Flood,a,114,Recovery
T11,T11_Tmt3_b,Flood,b,114,Recovery
T11,T11_Tmt3_c,Flood,c,114,Recovery
T11,T11_Tmt4_a,SlurryFlood,a,114,Recovery
T11,T11_Tmt4_b,SlurryFlood,b,114,Recovery
T11,T11_Tmt4_c,SlurryFlood,c,114,Recovery
T11,T11_Tmt1_a,Control,a,114,Recovery
T13,T13_Tmt1_a,Control,a,140,Recovery
T13,T13_Tmt1_c,Control,c,140,Recovery
T13,T13_Tmt2_a,Slurry,a,140,Recovery
T13,T13_Tmt2_b,Slurry,b,140,Recovery
T13,T13_Tmt2_c,Slurry,c,140,Recovery
T13,T13_Tmt3_a,Flood,a,140,Recovery
T13,T13_Tmt3_b,Flood,b,140,Recovery
T13,T13_Tmt3_c,Flood,c,140,Recovery
T13,T13_Tmt4_a,SlurryFlood,a,140,Recovery
T13,T13_Tmt4_b,SlurryFlood,b,140,Recovery
T13,T13_Tmt4_c,SlurryFlood,c,140,Recovery
T13,T13_Tmt1_b,Control,b,140,Recovery
T2,T2_Tmt1_a,Control,a,3,PreFlood
T2,T2_Tmt1_b,Control,b,3,PreFlood
T2,T2_Tmt2_a,Slurry,a,3,PreFlood
T2,T2_Tmt2_b,Slurry,b,3,PreFlood
T2,T2_Tmt2_c,Slurry,c,3,PreFlood
T2,T2_Tmt1_c,Control,c,3,PreFlood
T3,T3_Tmt1_a,Control,a,6,Flood
T3,T3_Tmt1_c,Control,c,6,Flood
T3,T3_Tmt2_a,Slurry,a,6,Flood
T3,T3_Tmt2_b,Slurry,b,6,Flood
T3,T3_Tmt1_b,Control,b,6,Flood
T3,T3_Tmt3_a,Flood,a,6,Flood
T3,T3_Tmt3_b,Flood,b,6,Flood
T3,T3_Tmt3_c,Flood,c,6,Flood
T3,T3_Tmt2_c,Slurry,c,6,Flood
T3,T3_Tmt4_b,SlurryFlood,b,6,Flood
T3,T3_Tmt4_c,SlurryFlood,c,6,Flood
T3,T3_Tmt4_a,SlurryFlood,a,6,Flood
T5,T5_Tmt1_a,Control,a,15,Flood
T5,T5_Tmt1_b,Control,b,15,Flood
T5,T5_Tmt2_a,Slurry,a,15,Flood
T5,T5_Tmt2_b,Slurry,b,15,Flood
T5,T5_Tmt2_c,Slurry,c,15,Flood
T5,T5_Tmt1_c,Control,c,15,Flood
T5,T5_Tmt3_b,Flood,b,15,Flood
T5,T5_Tmt3_c,Flood,c,15,Flood
T5,T5_Tmt4_a,SlurryFlood,a,15,Flood
T5,T5_Tmt3_a,Flood,a,15,Flood
T5,T5_Tmt4_c,SlurryFlood,c,15,Flood
T5,T5_Tmt4_b,SlurryFlood,b,15,Flood
T7,T7_Tmt1_a,Control,a,29,Flood
T7,T7_Tmt1_b,Control,b,29,Flood
T7,T7_Tmt1_c,Control,c,29,Flood
T7,T7_Tmt2_b,Slurry,b,29,Flood
T7,T7_Tmt2_c,Slurry,c,29,Flood
T7,T7_Tmt3_a,Flood,a,29,Flood
T7,T7_Tmt2_a,Slurry,a,29,Flood
T7,T7_Tmt3_c,Flood,c,29,Flood
T7,T7_Tmt4_a,SlurryFlood,a,29,Flood
T7,T7_Tmt4_b,SlurryFlood,b,29,Flood
T7,T7_Tmt3_b,Flood,b,29,Flood
T7,T7_Tmt4_c,SlurryFlood,c,29,Flood
T8,T8_Tmt1_b,Control,b,92,Recovery
T8,T8_Tmt1_c,Control,c,92,Recovery
T8,T8_Tmt2_a,Slurry,a,92,Recovery
T8,T8_Tmt1_a,Control,a,92,Recovery
T8,T8_Tmt2_c,Slurry,c,92,Recovery
T8,T8_Tmt3_a,Flood,a,92,Recovery
T8,T8_Tmt3_b,Flood,b,92,Recovery
T8,T8_Tmt2_b,Slurry,b,92,Recovery
T8,T8_Tmt4_a,SlurryFlood,a,92,Recovery
T8,T8_Tmt4_b,SlurryFlood,b,92,Recovery
T8,T8_Tmt4_c,SlurryFlood,c,92,Recovery
T8,T8_Tmt3_c,Flood,c,92,Recovery
